"Un equipo de desarrollo está creando una aplicación para una gran corporación que exige un análisis de requisitos y un diseño de interfaz cerrados y aprobados antes de empezar a escribir código. Sin embargo, el equipo quiere trabajar con ciclos cortos e iterativos para el desarrollo y las pruebas. ¿Qué metodología híbrida describe mejor esta situación?";"Scrummerfall";"Scrumban";"Scrum";"Waterfall"
"Una aplicación de mapas funciona perfectamente con una conexión Wi-Fi estable, pero se vuelve inutilizable en cuanto el usuario entra en una zona de baja cobertura 4G. ¿Qué principio fundamental del desarrollo móvil se ha ignorado principalmente?";"La mentalidad ""offline-first""";"El principio de mínimo privilegio";"La creación de interfaces adaptables (responsive)";"La optimización para arquitecturas RISC"
"¿Cuál es la diferencia fundamental en la filosofía de diseño entre las arquitecturas de procesador ARM (móviles) y x86/x64 (escritorios)?";"ARM prioriza la eficiencia energética mediante la ejecución de muchas instrucciones simples y rápidas (RISC), mientras que x86/x64 utiliza instrucciones complejas (CISC).";"ARM utiliza un juego de instrucciones complejo (CISC) para realizar más tareas por ciclo, mientras que x86 usa uno reducido (RISC).";"No hay diferencias significativas, ya que los compiladores modernos abstraen completamente el hardware subyacente.";"ARM está optimizada para la multitarea y x86/x64 para el procesamiento monohilo."
"Una aplicación construida con tecnologías web (HTML, CSS, JavaScript) que se empaqueta en un contenedor nativo y se renderiza dentro de un componente `WebView` se clasifica como:";"Híbrida";"Nativa";"Compilada con renderizado propio";"Aplicación Web Progresiva (PWA)"
"Según el texto, ¿cómo consigue el framework Flutter que la interfaz de usuario de una aplicación se vea prácticamente idéntica en Android y en iOS?";"Incluyendo su propio motor gráfico (Skia) que ""dibuja"" cada píxel de la interfaz directamente en la pantalla.";"Compilando los componentes de la interfaz a sus widgets nativos equivalentes en cada plataforma.";"Utilizando un `WebView` para renderizar una página web que contiene la interfaz.";"Forzando a ambos sistemas operativos a utilizar una librería de componentes visuales estándar de Google."
"¿Cuál es el enfoque principal de Kotlin Multiplatform (KMP) en su concepción original, diferenciándolo de otros frameworks como Flutter?";"Compartir la lógica de negocio (acceso a datos, red, etc.) pero construir la interfaz de usuario de forma nativa en cada plataforma.";"Compartir tanto la lógica de negocio como la interfaz de usuario utilizando un motor de renderizado propio.";"Compilar todo el código Kotlin a código nativo Swift en iOS y a Java en Android.";"Empaquetar el código Kotlin en un `WebView` para ejecutarlo en ambas plataformas."
"Si una aplicación de linterna solicita acceso a tus contactos, calendario y ubicación, ¿qué principio fundamental de la seguridad en móviles está violando de forma más evidente?";"El principio de mínimo privilegio.";"El cifrado de la información sensible.";"El uso obligatorio de conexiones HTTPS.";"La gestión de la conectividad intermitente."
"¿Cuál es el principal desafío de una Aplicación Web Progresiva (PWA) para competir con las aplicaciones nativas o multiplataforma en el mercado de consumo masivo?";"Su baja descubrilidad, ya que los usuarios están acostumbrados a encontrar y descargar apps desde las App Stores.";"Su rendimiento es siempre inferior al de una aplicación híbrida.";"No pueden acceder a ninguna funcionalidad del hardware del dispositivo.";"No es posible su distribución en la Google Play Store."
"¿Qué solución técnica es fundamental para abordar el problema de la fragmentación en el ecosistema Android, donde existen miles de dispositivos con diferentes tamaños y resoluciones de pantalla?";"Diseñar interfaces de usuario adaptables (responsive) que se ajusten a cualquier pantalla.";"Utilizar siempre la última versión del sistema operativo para el desarrollo.";"Crear una versión específica de la aplicación para cada modelo de dispositivo.";"Priorizar la arquitectura ARM sobre la x86 para asegurar la compatibilidad."
"Un equipo está desarrollando una aplicación de edición de vídeo en tiempo real que requiere el máximo rendimiento y acceso inmediato a las últimas APIs de la cámara. Según la tabla comparativa, ¿qué estrategia de desarrollo sería la más adecuada?";"Aplicación Nativa";"Aplicación Multiplataforma Híbrida";"Aplicación Web Progresiva (PWA)";"Web Responsive"
"En un enfoque de desarrollo híbrido basado en `WebView`, ¿qué elemento actúa como intermediario para permitir que el código JavaScript de la aplicación acceda a funcionalidades nativas del dispositivo como la cámara o el GPS?";"Un ""puente"" de JavaScript.";"El motor de renderizado Skia.";"El compilador JIT (Just-In-Time) de Dart.";"El archivo Web App Manifest."
"¿Qué describe mejor el modelo ""Scrumban""?";"Un modelo que elimina los Sprints de duración fija y gestiona el trabajo en un tablero de flujo continuo, pero mantiene los roles y reuniones de Scrum.";"Un modelo que combina las fases iniciales de Waterfall con el desarrollo iterativo de Scrum.";"Una versión más estricta de Scrum con Sprints de una sola semana.";"Una metodología que aplica los principios de Kanban únicamente a la fase de pruebas de un proyecto Waterfall."
"De acuerdo con la ""Actualización 2025"" mencionada en el texto sobre Kotlin Multiplatform (KMP), ¿cuál es la evolución más significativa que está experimentando la tecnología?";"Está incorporando la capacidad de compartir también la interfaz de usuario (UI) a través de Compose Multiplatform.";"Ha abandonado el soporte para iOS para centrarse exclusivamente en Android.";"Se ha fusionado completamente con el proyecto Flutter.";"Ha decidido reemplazar el lenguaje Kotlin por Dart para mejorar el rendimiento."
"¿Cuál de las siguientes afirmaciones sobre las metodologías ágiles (Scrum) es la más precisa según el texto?";"Se basan en un enfoque iterativo e incremental, permitiendo entregar valor rápidamente a través de un Producto Mínimo Viable (MVP).";"Garantizan un presupuesto y un alcance fijos desde el inicio del proyecto.";"Requieren que todas las fases (análisis, diseño, desarrollo) se completen secuencialmente antes de pasar a la siguiente.";"Son ideales para proyectos donde los requisitos son inamovibles y no se esperan cambios."
"En el contexto de ""La Batalla por la Relevancia"", ¿por qué un usuario podría preferir usar una Web Responsive en lugar de instalar la aplicación nativa de un servicio?";"Para evitar el consumo de datos de la descarga y no ocupar espacio de almacenamiento en su dispositivo.";"Porque las webs responsive siempre ofrecen más funcionalidades que las apps nativas.";"Porque las webs responsive tienen acceso completo al hardware del móvil, como la cámara y los sensores.";"Porque las webs responsive funcionan siempre sin necesidad de conexión a internet."